date,all_retail,food,nonfood,textiles,household,nonstore,other_nonfood,dept_stores,all_retail_idx,food_idx,nonfood_idx,textiles_idx,household_idx,nonstore_idx
2017-01,96.6,102.3,100.7,99.0,109.2,67.8,92.7,108.4,95.2,97.4,96.0,96.1,98.4,83.7
2017-02,97.3,102.8,101.8,100.2,110.3,67.6,93.9,109.1,95.9,97.9,97.0,97.3,99.4,83.5
2017-03,96.9,102.7,101.1,101.3,110.5,67.7,90.2,110.0,95.5,97.8,96.4,98.3,99.5,83.6
2017-04,98.4,103.0,103.2,99.8,116.0,70.7,95.2,109.4,96.9,98.1,98.4,96.9,104.5,87.3
2017-05,96.6,102.1,100.6,99.7,106.9,68.9,92.8,108.3,95.2,97.2,95.9,96.8,96.3,85.1
2017-06,97.8,101.3,103.0,101.1,109.1,72.0,96.3,111.0,96.4,96.5,98.2,98.2,98.3,88.9
2017-07,97.7,101.8,102.8,101.3,111.5,70.7,94.0,111.1,96.3,97.0,98.0,98.3,100.5,87.3
2017-08,98.7,102.2,103.6,101.4,105.9,73.9,98.9,112.0,97.2,97.3,98.8,98.4,95.4,91.2
2017-09,98.6,102.2,101.9,101.5,108.6,78.1,92.9,110.9,97.1,97.3,97.1,98.5,97.8,96.4
2017-10,98.6,102.6,102.5,100.3,111.6,75.6,95.2,109.3,97.1,97.7,97.7,97.4,100.5,93.3
2017-11,98.8,102.5,103.0,100.4,110.1,75.9,97.3,109.2,97.3,97.6,98.2,97.5,99.2,93.7
2017-12,98.9,102.5,103.4,99.3,108.5,75.1,98.6,112.4,97.4,97.6,98.6,96.4,97.7,92.7
2018-01,97.9,101.5,103.2,98.9,111.1,71.8,96.9,112.2,96.5,96.7,98.4,96.0,100.1,88.6
2018-02,98.3,102.5,102.3,98.5,112.0,74.2,94.9,110.8,96.8,97.6,97.5,95.6,100.9,91.6
2018-03,97.3,101.2,101.6,97.1,113.5,72.9,93.4,110.7,95.9,96.4,96.9,94.3,102.3,90.0
2018-04,98.5,102.7,102.6,97.9,114.3,74.2,96.3,108.6,97.0,97.8,97.8,95.0,103.0,91.6
2018-05,100.4,104.1,104.2,101.0,114.2,78.1,96.1,112.7,98.9,99.1,99.3,98.1,102.9,96.4
2018-06,100.0,104.0,103.5,101.3,112.0,77.8,94.7,113.4,98.5,99.0,98.7,98.3,100.9,96.0
2018-07,101.1,104.8,104.4,103.6,111.7,81.0,96.0,112.3,99.6,99.8,99.5,100.6,100.6,100.0
